PaperId: 513, Esession: 150, Duration: 5, Position: 1, Start: 01/10/2015 00:54
PaperId: 292, Esession: 150, Duration: 60, Position: 2, Start: 01/10/2015 05:35
PaperId: 294, Esession: 150, Duration: 60, Position: 3, Start: 02/10/2015 00:54
PaperId: 295, Esession: 150, Duration: 60, Position: 4, Start: 02/10/2015 18:42
PaperId: 291, Esession: 150, Duration: 60, Position: 5, Start: 02/10/2015 20:06
PaperId: 335, Esession: 67, Duration: 30, Position: 1, Start: 30/09/2015 09:48
PaperId: 358, Esession: 67, Duration: 30, Position: 2, Start: 30/09/2015 10:59
PaperId: 345, Esession: 67, Duration: 30, Position: 3, Start: 30/09/2015 12:26
PaperId: 337, Esession: 67, Duration: 30, Position: 4, Start: 30/09/2015 14:34
PaperId: 432, Esession: 67, Duration: 30, Position: 5, Start: 30/09/2015 15:40
PaperId: 394, Esession: 67, Duration: 30, Position: 6, Start: 30/09/2015 18:52
PaperId: 431, Esession: 67, Duration: 30, Position: 7, Start: 02/10/2015 11:07
PaperId: 395, Esession: 67, Duration: 30, Position: 8, Start: 02/10/2015 16:17
PaperId: 356, Esession: 67, Duration: 30, Position: 9, Start: 02/10/2015 16:43
PaperId: 396, Esession: 65, Duration: 30, Position: 1, Start: 30/09/2015 10:37
PaperId: 240, Esession: 65, Duration: 15, Position: 2, Start: 02/10/2015 16:11
PaperId: 380, Esession: 64, Duration: 30, Position: 1, Start: 30/09/2015 19:39
PaperId: 378, Esession: 64, Duration: 30, Position: 2, Start: 02/10/2015 09:26
PaperId: 144, Esession: 62, Duration: 15, Position: 1, Start: 30/09/2015 08:24
PaperId: 232, Esession: 62, Duration: 30, Position: 2, Start: 30/09/2015 18:08
PaperId: 264, Esession: 123, Duration: 30, Position: 1, Start: 30/09/2015 08:37
PaperId: 263, Esession: 123, Duration: 30, Position: 2, Start: 30/09/2015 15:54
PaperId: 326, Esession: 123, Duration: 30, Position: 3, Start: 30/09/2015 16:07
PaperId: 265, Esession: 123, Duration: 30, Position: 4, Start: 30/09/2015 16:41
PaperId: 63, Esession: 60, Duration: 30, Position: 1, Start: 30/09/2015 09:39
PaperId: 249, Esession: 60, Duration: 5, Position: 2, Start: 30/09/2015 14:45
PaperId: 137, Esession: 60, Duration: 30, Position: 3, Start: 30/09/2015 17:44
PaperId: 86, Esession: 66, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 314, Esession: 66, Duration: 30, Position: 2, Start: 30/09/2015 08:44
PaperId: 89, Esession: 66, Duration: 30, Position: 3, Start: 30/09/2015 11:33
PaperId: 65, Esession: 66, Duration: 30, Position: 4, Start: 30/09/2015 13:37
PaperId: 48, Esession: 66, Duration: 30, Position: 5, Start: 30/09/2015 16:36
PaperId: 461, Esession: 66, Duration: 30, Position: 6, Start: 01/10/2015 22:13
PaperId: 42, Esession: 66, Duration: 15, Position: 7, Start: 02/10/2015 12:13
PaperId: 37, Esession: 66, Duration: 30, Position: 8, Start: 02/10/2015 15:47
PaperId: 16, Esession: 43, Duration: 30, Position: 1, Start: 30/09/2015 10:39
PaperId: 285, Esession: 43, Duration: 30, Position: 2, Start: 30/09/2015 15:59
PaperId: 375, Esession: 38, Duration: 30, Position: 1, Start: 30/09/2015 18:14
PaperId: 135, Esession: 40, Duration: 15, Position: 1, Start: 30/09/2015 10:02
PaperId: 18, Esession: 53, Duration: 30, Position: 1, Start: 30/09/2015 09:03
PaperId: 288, Esession: 50, Duration: 30, Position: 1, Start: 30/09/2015 14:04
PaperId: 290, Esession: 50, Duration: 30, Position: 2, Start: 02/10/2015 11:17
PaperId: 505, Esession: 50, Duration: 30, Position: 3, Start: 02/10/2015 16:55
PaperId: 21, Esession: 55, Duration: 30, Position: 1, Start: 30/09/2015 12:57
PaperId: 133, Esession: 55, Duration: 30, Position: 2, Start: 02/10/2015 09:05
PaperId: 412, Esession: 129, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 413, Esession: 129, Duration: 30, Position: 2, Start: 30/09/2015 11:52
PaperId: 260, Esession: 129, Duration: 30, Position: 3, Start: 30/09/2015 13:22
PaperId: 362, Esession: 129, Duration: 30, Position: 4, Start: 30/09/2015 16:56
PaperId: 409, Esession: 129, Duration: 30, Position: 5, Start: 30/09/2015 17:16
PaperId: 408, Esession: 129, Duration: 30, Position: 6, Start: 30/09/2015 23:39
PaperId: 301, Esession: 129, Duration: 30, Position: 7, Start: 01/10/2015 08:24
PaperId: 410, Esession: 129, Duration: 30, Position: 8, Start: 01/10/2015 15:12
PaperId: 407, Esession: 129, Duration: 30, Position: 9, Start: 02/10/2015 04:47
PaperId: 300, Esession: 129, Duration: 30, Position: 10, Start: 02/10/2015 05:53
PaperId: 437, Esession: 129, Duration: 30, Position: 11, Start: 02/10/2015 10:35
PaperId: 438, Esession: 129, Duration: 30, Position: 12, Start: 02/10/2015 22:10
PaperId: 361, Esession: 129, Duration: 30, Position: 13, Start: 02/10/2015 22:49
PaperId: 411, Esession: 129, Duration: 30, Position: 14, Start: 02/10/2015 23:09
PaperId: 256, Esession: 126, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 373, Esession: 126, Duration: 30, Position: 2, Start: 30/09/2015 00:00
PaperId: 522, Esession: 126, Duration: 30, Position: 3, Start: 30/09/2015 05:49
PaperId: 351, Esession: 126, Duration: 30, Position: 4, Start: 30/09/2015 08:39
PaperId: 222, Esession: 126, Duration: 30, Position: 5, Start: 30/09/2015 09:10
PaperId: 211, Esession: 126, Duration: 30, Position: 6, Start: 30/09/2015 10:10
PaperId: 234, Esession: 126, Duration: 30, Position: 7, Start: 30/09/2015 10:31
PaperId: 214, Esession: 126, Duration: 30, Position: 8, Start: 30/09/2015 12:43
PaperId: 297, Esession: 126, Duration: 30, Position: 9, Start: 30/09/2015 13:29
PaperId: 401, Esession: 126, Duration: 30, Position: 10, Start: 30/09/2015 14:41
PaperId: 221, Esession: 126, Duration: 30, Position: 11, Start: 30/09/2015 17:01
PaperId: 323, Esession: 126, Duration: 30, Position: 12, Start: 30/09/2015 17:52
PaperId: 374, Esession: 126, Duration: 30, Position: 13, Start: 30/09/2015 19:25
PaperId: 209, Esession: 126, Duration: 30, Position: 14, Start: 30/09/2015 20:45
PaperId: 252, Esession: 126, Duration: 30, Position: 15, Start: 02/10/2015 02:18
PaperId: 259, Esession: 126, Duration: 30, Position: 16, Start: 02/10/2015 02:30
PaperId: 281, Esession: 126, Duration: 30, Position: 17, Start: 02/10/2015 04:26
PaperId: 224, Esession: 126, Duration: 30, Position: 18, Start: 02/10/2015 09:04
PaperId: 511, Esession: 126, Duration: 30, Position: 19, Start: 02/10/2015 15:21
PaperId: 225, Esession: 126, Duration: 30, Position: 20, Start: 02/10/2015 15:44
PaperId: 257, Esession: 126, Duration: 30, Position: 21, Start: 02/10/2015 16:23
PaperId: 235, Esession: 126, Duration: 30, Position: 22, Start: 02/10/2015 23:26
PaperId: 452, Esession: 157, Duration: 30, Position: 1, Start: 30/09/2015 03:29
PaperId: 453, Esession: 157, Duration: 30, Position: 2, Start: 30/09/2015 07:15
PaperId: 447, Esession: 157, Duration: 30, Position: 3, Start: 30/09/2015 09:42
PaperId: 451, Esession: 157, Duration: 30, Position: 4, Start: 01/10/2015 05:05
PaperId: 443, Esession: 157, Duration: 30, Position: 5, Start: 01/10/2015 06:34
PaperId: 445, Esession: 157, Duration: 30, Position: 6, Start: 01/10/2015 09:08
PaperId: 462, Esession: 157, Duration: 30, Position: 7, Start: 01/10/2015 14:30
PaperId: 449, Esession: 157, Duration: 30, Position: 8, Start: 01/10/2015 20:30
PaperId: 446, Esession: 157, Duration: 30, Position: 9, Start: 02/10/2015 03:00
PaperId: 448, Esession: 157, Duration: 30, Position: 10, Start: 02/10/2015 04:49
PaperId: 463, Esession: 157, Duration: 30, Position: 11, Start: 02/10/2015 12:21
PaperId: 444, Esession: 157, Duration: 30, Position: 12, Start: 02/10/2015 20:22
PaperId: 454, Esession: 157, Duration: 30, Position: 13, Start: 02/10/2015 22:42
PaperId: 450, Esession: 157, Duration: 30, Position: 14, Start: 02/10/2015 23:37
PaperId: 204, Esession: 103, Duration: 30, Position: 1, Start: 30/09/2015 07:48
PaperId: 206, Esession: 103, Duration: 30, Position: 2, Start: 30/09/2015 15:02
PaperId: 216, Esession: 103, Duration: 30, Position: 3, Start: 30/09/2015 15:29
PaperId: 254, Esession: 103, Duration: 30, Position: 4, Start: 30/09/2015 16:11
PaperId: 296, Esession: 103, Duration: 30, Position: 5, Start: 30/09/2015 23:37
PaperId: 255, Esession: 103, Duration: 30, Position: 6, Start: 02/10/2015 11:10
PaperId: 207, Esession: 107, Duration: 30, Position: 1, Start: 30/09/2015 13:49
PaperId: 75, Esession: 107, Duration: 30, Position: 2, Start: 30/09/2015 15:23
PaperId: 72, Esession: 107, Duration: 30, Position: 3, Start: 02/10/2015 19:00
PaperId: 120, Esession: 105, Duration: 30, Position: 1, Start: 30/09/2015 13:03
PaperId: 415, Esession: 105, Duration: 30, Position: 2, Start: 30/09/2015 15:11
PaperId: 193, Esession: 106, Duration: 30, Position: 1, Start: 30/09/2015 15:25
PaperId: 69, Esession: 106, Duration: 30, Position: 2, Start: 30/09/2015 19:49
PaperId: 80, Esession: 106, Duration: 15, Position: 3, Start: 30/09/2015 22:02
PaperId: 71, Esession: 106, Duration: 15, Position: 4, Start: 01/10/2015 00:11
PaperId: 35, Esession: 106, Duration: 30, Position: 5, Start: 02/10/2015 23:30
PaperId: 325, Esession: 148, Duration: 30, Position: 1, Start: 30/09/2015 11:45
PaperId: 360, Esession: 148, Duration: 30, Position: 2, Start: 01/10/2015 18:25
PaperId: 441, Esession: 148, Duration: 30, Position: 3, Start: 02/10/2015 03:07
PaperId: 376, Esession: 148, Duration: 30, Position: 4, Start: 02/10/2015 04:36
PaperId: 283, Esession: 115, Duration: 30, Position: 1, Start: 30/09/2015 09:38
PaperId: 268, Esession: 115, Duration: 30, Position: 2, Start: 30/09/2015 10:33
PaperId: 194, Esession: 115, Duration: 30, Position: 3, Start: 30/09/2015 11:51
PaperId: 266, Esession: 115, Duration: 30, Position: 4, Start: 30/09/2015 16:06
PaperId: 433, Esession: 115, Duration: 30, Position: 5, Start: 30/09/2015 16:20
PaperId: 348, Esession: 115, Duration: 30, Position: 6, Start: 30/09/2015 16:38
PaperId: 280, Esession: 115, Duration: 30, Position: 7, Start: 02/10/2015 12:54
PaperId: 226, Esession: 33, Duration: 30, Position: 1, Start: 30/09/2015 09:07
PaperId: 367, Esession: 33, Duration: 30, Position: 2, Start: 30/09/2015 12:08
PaperId: 287, Esession: 33, Duration: 30, Position: 3, Start: 30/09/2015 16:18
PaperId: 338, Esession: 33, Duration: 30, Position: 4, Start: 30/09/2015 17:42
PaperId: 210, Esession: 33, Duration: 30, Position: 5, Start: 01/10/2015 19:07
PaperId: 468, Esession: 112, Duration: 30, Position: 1, Start: 30/09/2015 17:10
PaperId: 307, Esession: 117, Duration: 30, Position: 1, Start: 30/09/2015 15:45
PaperId: 458, Esession: 118, Duration: 30, Position: 1, Start: 30/09/2015 10:17
PaperId: 399, Esession: 118, Duration: 30, Position: 2, Start: 30/09/2015 11:07
PaperId: 482, Esession: 118, Duration: 30, Position: 3, Start: 30/09/2015 16:13
PaperId: 459, Esession: 118, Duration: 30, Position: 4, Start: 01/10/2015 09:29
PaperId: 457, Esession: 118, Duration: 30, Position: 5, Start: 02/10/2015 08:01
PaperId: 390, Esession: 118, Duration: 30, Position: 6, Start: 02/10/2015 20:10
PaperId: 456, Esession: 118, Duration: 30, Position: 7, Start: 02/10/2015 23:24
PaperId: 406, Esession: 114, Duration: 30, Position: 1, Start: 30/09/2015 09:37
PaperId: 387, Esession: 114, Duration: 30, Position: 2, Start: 30/09/2015 10:54
PaperId: 359, Esession: 114, Duration: 30, Position: 3, Start: 02/10/2015 14:39
PaperId: 267, Esession: 116, Duration: 30, Position: 1, Start: 30/09/2015 06:06
PaperId: 215, Esession: 116, Duration: 30, Position: 2, Start: 02/10/2015 16:12
PaperId: 342, Esession: 121, Duration: 30, Position: 1, Start: 30/09/2015 10:26
PaperId: 346, Esession: 121, Duration: 30, Position: 2, Start: 30/09/2015 17:19
PaperId: 343, Esession: 121, Duration: 30, Position: 3, Start: 02/10/2015 20:59
PaperId: 11, Esession: 94, Duration: 30, Position: 1, Start: 30/09/2015 11:20
PaperId: 478, Esession: 94, Duration: 5, Position: 2, Start: 30/09/2015 14:09
PaperId: 39, Esession: 94, Duration: 30, Position: 3, Start: 30/09/2015 15:28
PaperId: 167, Esession: 94, Duration: 15, Position: 4, Start: 30/09/2015 16:31
PaperId: 147, Esession: 94, Duration: 15, Position: 5, Start: 30/09/2015 20:09
PaperId: 238, Esession: 94, Duration: 5, Position: 6, Start: 01/10/2015 14:27
PaperId: 44, Esession: 94, Duration: 5, Position: 7, Start: 01/10/2015 15:55
PaperId: 45, Esession: 94, Duration: 30, Position: 8, Start: 02/10/2015 08:57
PaperId: 198, Esession: 94, Duration: 15, Position: 9, Start: 02/10/2015 23:52
PaperId: 279, Esession: 92, Duration: 30, Position: 1, Start: 30/09/2015 11:40
PaperId: 278, Esession: 92, Duration: 30, Position: 2, Start: 30/09/2015 16:18
PaperId: 276, Esession: 92, Duration: 30, Position: 3, Start: 30/09/2015 19:48
PaperId: 377, Esession: 92, Duration: 30, Position: 4, Start: 01/10/2015 16:58
PaperId: 306, Esession: 92, Duration: 30, Position: 5, Start: 02/10/2015 02:17
PaperId: 274, Esession: 92, Duration: 30, Position: 6, Start: 02/10/2015 23:30
PaperId: 59, Esession: 95, Duration: 30, Position: 1, Start: 30/09/2015 10:05
PaperId: 156, Esession: 95, Duration: 30, Position: 2, Start: 30/09/2015 10:22
PaperId: 110, Esession: 95, Duration: 30, Position: 3, Start: 30/09/2015 10:53
PaperId: 304, Esession: 95, Duration: 30, Position: 4, Start: 02/10/2015 11:05
PaperId: 309, Esession: 95, Duration: 30, Position: 5, Start: 02/10/2015 12:19
PaperId: 101, Esession: 95, Duration: 30, Position: 6, Start: 02/10/2015 15:50
PaperId: 282, Esession: 95, Duration: 30, Position: 7, Start: 02/10/2015 21:29
PaperId: 416, Esession: 100, Duration: 30, Position: 1, Start: 30/09/2015 09:47
PaperId: 419, Esession: 100, Duration: 30, Position: 2, Start: 30/09/2015 16:18
PaperId: 429, Esession: 100, Duration: 30, Position: 3, Start: 02/10/2015 02:30
PaperId: 417, Esession: 100, Duration: 30, Position: 4, Start: 02/10/2015 20:43
PaperId: 269, Esession: 98, Duration: 30, Position: 1, Start: 30/09/2015 15:06
PaperId: 227, Esession: 98, Duration: 30, Position: 2, Start: 30/09/2015 16:59
PaperId: 400, Esession: 99, Duration: 30, Position: 1, Start: 30/09/2015 08:20
PaperId: 379, Esession: 99, Duration: 30, Position: 2, Start: 30/09/2015 09:43
PaperId: 244, Esession: 99, Duration: 30, Position: 3, Start: 30/09/2015 17:44
PaperId: 392, Esession: 99, Duration: 30, Position: 4, Start: 02/10/2015 19:31
PaperId: 104, Esession: 102, Duration: 30, Position: 1, Start: 30/09/2015 13:41
PaperId: 49, Esession: 34, Duration: 30, Position: 1, Start: 30/09/2015 08:09
PaperId: 239, Esession: 93, Duration: 15, Position: 1, Start: 30/09/2015 11:49
PaperId: 123, Esession: 93, Duration: 30, Position: 2, Start: 30/09/2015 14:03
PaperId: 121, Esession: 93, Duration: 30, Position: 3, Start: 01/10/2015 21:17
PaperId: 90, Esession: 93, Duration: 30, Position: 4, Start: 01/10/2015 23:34
PaperId: 115, Esession: 93, Duration: 15, Position: 5, Start: 02/10/2015 19:46
PaperId: 364, Esession: 96, Duration: 30, Position: 1, Start: 30/09/2015 08:08
PaperId: 352, Esession: 96, Duration: 30, Position: 2, Start: 02/10/2015 04:41
PaperId: 66, Esession: 101, Duration: 30, Position: 1, Start: 30/09/2015 04:59
PaperId: 218, Esession: 101, Duration: 30, Position: 2, Start: 30/09/2015 10:54
PaperId: 122, Esession: 101, Duration: 30, Position: 3, Start: 30/09/2015 11:22
PaperId: 350, Esession: 101, Duration: 30, Position: 4, Start: 30/09/2015 12:04
PaperId: 405, Esession: 101, Duration: 30, Position: 5, Start: 30/09/2015 12:24
PaperId: 220, Esession: 101, Duration: 30, Position: 6, Start: 30/09/2015 15:03
PaperId: 418, Esession: 101, Duration: 30, Position: 7, Start: 30/09/2015 16:58
PaperId: 414, Esession: 101, Duration: 30, Position: 8, Start: 02/10/2015 13:49
PaperId: 163, Esession: 86, Duration: 30, Position: 1, Start: 30/09/2015 08:40
PaperId: 140, Esession: 86, Duration: 30, Position: 2, Start: 30/09/2015 09:42
PaperId: 139, Esession: 86, Duration: 15, Position: 3, Start: 30/09/2015 09:52
PaperId: 178, Esession: 86, Duration: 30, Position: 4, Start: 30/09/2015 12:11
PaperId: 58, Esession: 86, Duration: 15, Position: 5, Start: 30/09/2015 12:59
PaperId: 52, Esession: 86, Duration: 30, Position: 6, Start: 30/09/2015 14:56
PaperId: 189, Esession: 86, Duration: 30, Position: 7, Start: 30/09/2015 16:30
PaperId: 105, Esession: 86, Duration: 30, Position: 8, Start: 30/09/2015 17:28
PaperId: 134, Esession: 86, Duration: 30, Position: 9, Start: 02/10/2015 17:30
PaperId: 117, Esession: 86, Duration: 30, Position: 10, Start: 02/10/2015 19:55
PaperId: 464, Esession: 83, Duration: 30, Position: 1, Start: 30/09/2015 11:03
PaperId: 76, Esession: 83, Duration: 30, Position: 2, Start: 30/09/2015 16:38
PaperId: 83, Esession: 83, Duration: 30, Position: 3, Start: 30/09/2015 17:30
PaperId: 331, Esession: 80, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 455, Esession: 80, Duration: 30, Position: 2, Start: 30/09/2015 03:22
PaperId: 440, Esession: 80, Duration: 30, Position: 3, Start: 30/09/2015 15:06
PaperId: 327, Esession: 80, Duration: 30, Position: 4, Start: 01/10/2015 00:07
PaperId: 398, Esession: 80, Duration: 30, Position: 5, Start: 02/10/2015 05:40
PaperId: 439, Esession: 80, Duration: 30, Position: 6, Start: 02/10/2015 06:09
PaperId: 27, Esession: 82, Duration: 30, Position: 1, Start: 30/09/2015 11:30
PaperId: 504, Esession: 82, Duration: 30, Position: 2, Start: 02/10/2015 09:01
PaperId: 344, Esession: 88, Duration: 30, Position: 1, Start: 30/09/2015 13:03
PaperId: 341, Esession: 88, Duration: 30, Position: 2, Start: 30/09/2015 21:16
PaperId: 277, Esession: 88, Duration: 30, Position: 3, Start: 02/10/2015 13:00
PaperId: 322, Esession: 88, Duration: 5, Position: 4, Start: 02/10/2015 15:41
PaperId: 202, Esession: 147, Duration: 15, Position: 1, Start: 02/10/2015 13:25
